"","id","msa_geoid","state_geoid","GEOID_pp"
"1",1,"42660","53","42660"
"2",2,"42660","53","42660"
"3",3,"42660","53","42660"
"4",4,"42660","53","42660"
"5",5,NA,"53","53"
"6",6,"42660","53","42660"
"7",7,"42660","53","42660"
"8",8,"42660","53","42660"
"9",9,"42660","53","42660"
"10",10,"42660","53","42660"
"11",11,"42660","53","42660"
"12",12,"42660","53","42660"
"13",13,"42660","53","42660"
"14",14,"42660","53","42660"
"15",15,"42660","53","42660"
"16",16,"42660","53","42660"
"17",17,"42660","53","42660"
"18",18,"42660","53","42660"
"19",19,"42660","53","42660"
"20",20,"42660","53","42660"
"21",21,"42660","53","42660"
"22",22,"42660","53","42660"
"23",23,"42660","53","42660"
"24",24,"42660","53","42660"
"25",25,"42660","53","42660"
"26",26,"42660","53","42660"
"27",27,"42660","53","42660"
"28",28,"42660","53","42660"
"29",29,"42660","53","42660"
"30",30,NA,"53","53"
"31",31,NA,"53","53"
"32",32,"44060","53","44060"
"33",33,"13380","53","13380"
